file,province,main_sector,subsector,hazard,n_variables,n_with_legacy_weight,n_new_variables,n_rows,panel_overrides
generated/Sabaragamuwa/HUMAN_SETTLEMENTS_FLOOD_SAB_V1_upload_template.xlsx,Sabaragamuwa,Human Settlements Sector,,Flood,17,10,7,29,"0 add, 0 retire"
generated/Sabaragamuwa/HUMAN_SETTLEMENTS_LANDSLIDE_SAB_V1_upload_template.xlsx,Sabaragamuwa,Human Settlements Sector,,Landslide,12,10,2,29,"0 add, 0 retire"
generated/Sabaragamuwa/INDUSTRY_DROUGHT_SAB_V1_upload_template.xlsx,Sabaragamuwa,Industry Sector,,Drought,14,13,1,29,"0 add, 0 retire"
generated/Sabaragamuwa/INDUSTRY_FLOOD_SAB_V1_upload_template.xlsx,Sabaragamuwa,Industry Sector,,Flood,15,14,1,29,"0 add, 0 retire"
generated/Sabaragamuwa/IRRIGATION_WATER_DROUGHT_SAB_V1_upload_template.xlsx,Sabaragamuwa,Water Sector,Irrigation Water,Drought,9,6,3,29,"0 add, 0 retire"
generated/Sabaragamuwa/IRRIGATION_WATER_FLOOD_SAB_V1_upload_template.xlsx,Sabaragamuwa,Water Sector,Irrigation Water,Flood,10,7,3,29,"0 add, 0 retire"
generated/Sabaragamuwa/PADDY_DROUGHT_SAB_V1_upload_template.xlsx,Sabaragamuwa,Agriculture Sector,Paddy,Drought,12,9,3,29,"0 add, 0 retire"
generated/Sabaragamuwa/PADDY_FLOOD_SAB_V1_upload_template.xlsx,Sabaragamuwa,Agriculture Sector,Paddy,Flood,15,11,4,29,"0 add, 0 retire"
generated/Sabaragamuwa/PIG_AND_SHEEP_DROUGHT_SAB_V1_upload_template.xlsx,Sabaragamuwa,Livestock Sector,Pig and Sheep Farming,Drought,21,8,13,29,"0 add, 0 retire"
generated/Sabaragamuwa/PIG_AND_SHEEP_FLOOD_SAB_V1_upload_template.xlsx,Sabaragamuwa,Livestock Sector,Pig and Sheep Farming,Flood,22,9,13,29,"0 add, 0 retire"
generated/Sabaragamuwa/POTABLE_WATER_DROUGHT_SAB_V1_upload_template.xlsx,Sabaragamuwa,Water Sector,Potable Water,Drought,12,8,4,29,"0 add, 0 retire"
generated/Sabaragamuwa/POTABLE_WATER_FLOOD_SAB_V1_upload_template.xlsx,Sabaragamuwa,Water Sector,Potable Water,Flood,11,7,4,29,"0 add, 0 retire"
generated/Sabaragamuwa/POTABLE_WATER_LANDSLIDE_SAB_V1_upload_template.xlsx,Sabaragamuwa,Water Sector,Potable Water,Landslide,12,9,3,29,"0 add, 0 retire"
generated/Sabaragamuwa/POULTRY_DROUGHT_SAB_V1_upload_template.xlsx,Sabaragamuwa,Livestock Sector,Poultry Farming,Drought,24,7,17,29,"0 add, 0 retire"
generated/Sabaragamuwa/POULTRY_FLOOD_SAB_V1_upload_template.xlsx,Sabaragamuwa,Livestock Sector,Poultry Farming,Flood,25,8,17,29,"0 add, 0 retire"
generated/Sabaragamuwa/TEA_DROUGHT_SAB_V1_upload_template.xlsx,Sabaragamuwa,Agriculture Sector,Tea,Drought,6,5,1,29,"0 add, 0 retire"
generated/Sabaragamuwa/TEA_FLOOD_SAB_V1_upload_template.xlsx,Sabaragamuwa,Agriculture Sector,Tea,Flood,7,6,1,29,"0 add, 0 retire"
generated/Sabaragamuwa/TOURISM_DROUGHT_SAB_V1_upload_template.xlsx,Sabaragamuwa,Tourism Sector,,Drought,11,9,2,29,"0 add, 0 retire"
generated/Sabaragamuwa/TOURISM_FLOOD_SAB_V1_upload_template.xlsx,Sabaragamuwa,Tourism Sector,,Flood,12,10,2,29,"0 add, 0 retire"
generated/Sabaragamuwa/TRANSPORTATION_FLOOD_SAB_V1_upload_template.xlsx,Sabaragamuwa,Transportation Sector,,Flood,14,10,4,29,"0 add, 0 retire"
generated/Sabaragamuwa/TRANSPORTATION_LANDSLIDE_SAB_V1_upload_template.xlsx,Sabaragamuwa,Transportation Sector,,Landslide,10,9,1,29,"0 add, 0 retire"
generated/Southern/BUFFALO_DROUGHT_SOU_V1_upload_template.xlsx,Southern,Livestock Sector,Buffalo Farming,Drought,18,7,11,50,"0 add, 0 retire"
generated/Southern/BUFFALO_FLOOD_SOU_V1_upload_template.xlsx,Southern,Livestock Sector,Buffalo Farming,Flood,19,8,11,50,"0 add, 0 retire"
generated/Southern/CATTLE_DROUGHT_SOU_V1_upload_template.xlsx,Southern,Livestock Sector,Cattle Farming,Drought,18,6,12,50,"0 add, 0 retire"
generated/Southern/CATTLE_FLOOD_SOU_V1_upload_template.xlsx,Southern,Livestock Sector,Cattle Farming,Flood,19,7,12,50,"0 add, 0 retire"
