province,district,ds_code,ds_division,ds_division_si,ds_code_official_num,ds_code_legacy,split_from,lon,lat,level,source
Northern,Jaffna,JA13,Valikamam South West(sandilipay),වලිකාමම් නිරිත (සං,135,NOR-014,,79.986879,9.747076,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Northern,Jaffna,JA14,Valikamam South(uduvil),වලිකාමම් දකුණ (උඩු,137,NOR-013,,80.016891,9.737478,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Northern,Jaffna,JA15,Valikamam West(chankanai),වලිකාමම් බටහිර (චන,125,NOR-015,,79.949856,9.737743,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Northern,Kilinochchi,KI1,Kandavalai,කණ්ඩාවලෙයි,327,NOR-016,,80.531011,9.431608,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Northern,Kilinochchi,KI2,Karachchi,කරච්චි,184,NOR-017,,80.356017,9.352448,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Northern,Kilinochchi,KI3,Pachchilaipalli,පලෙයි (පච්චිලේපලෙය,185,NOR-018,,80.348389,9.596668,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Northern,Kilinochchi,KI4,Poonakary,පුනරීන්,186,NOR-019,,80.194699,9.410948,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Northern,Mannar,MN1,Madhu,මඩු,217,NOR-020,,80.158047,8.808521,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Northern,Mannar,MN2,Mannar Town,මන්නාරම නගර,218,NOR-021,,79.842745,9.035187,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Northern,Mannar,MN3,Manthai West,මාන්තෛ බටහිර,219,NOR-022,,80.121731,9.0383,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
