province,main_sector,subsector,hazard,variable_code,action,weight_pct,basis,note
Northern,Human Settlements Sector,,Drought,MAXIMUM_DROUGHT_AFFECTED_PEOPLE_DURING_1974_TO_2022,retire,,,superseded by MAXIMUM_DROUGHT_AFFECTED_PEOPLE_DURING_1974_TO_2004 + MAXIMUM_DROUGHT_AFFECTED_PEOPLE_DURING_2005_TO_2022
Northern,Human Settlements Sector,,Flood,FLOOD_EVENTS_1974_TO_2004,add,,component of unweighted FLOOD_EVENTS_1974_TO_2023; no weight to split,added alongside FLOOD_EVENTS_1974_TO_2023
Northern,Human Settlements Sector,,Flood,FLOOD_EVENTS_2005_TO_2023,add,,component of unweighted FLOOD_EVENTS_1974_TO_2023; no weight to split,added alongside FLOOD_EVENTS_1974_TO_2023
Northern,Human Settlements Sector,,Flood,MAXIMUM_FLOOD_AFFECTED_PEOPLE_DURING_1974_TO_2004,add,8.25,derived: 25% of retired MAXIMUM_FLOOD_AFFECTED_PEOPLE_DURING_1974_TO_2023 (33),replaces MAXIMUM_FLOOD_AFFECTED_PEOPLE_DURING_1974_TO_2023
Northern,Human Settlements Sector,,Flood,MAXIMUM_FLOOD_AFFECTED_PEOPLE_DURING_2005_TO_2023,add,24.75,derived: 75% of retired MAXIMUM_FLOOD_AFFECTED_PEOPLE_DURING_1974_TO_2023 (33),replaces MAXIMUM_FLOOD_AFFECTED_PEOPLE_DURING_1974_TO_2023
Northern,Human Settlements Sector,,Flood,MAXIMUM_FLOOD_AFFECTED_PEOPLE_DURING_1974_TO_2023,retire,,,superseded by MAXIMUM_FLOOD_AFFECTED_PEOPLE_DURING_1974_TO_2004 + MAXIMUM_FLOOD_AFFECTED_PEOPLE_DURING_2005_TO_2023
Northern,Human Settlements Sector,,Flood,THREE_DAY_CUMULATIVE_RAINFALL,add,,component of unweighted VERY_WET_DAYS; no weight to split,added alongside VERY_WET_DAYS
Northern,Human Settlements Sector,,Flood,VERY_WET_DAYS_95TH_PERCENTILE,add,,component of unweighted VERY_WET_DAYS; no weight to split,added alongside VERY_WET_DAYS
Northern,Industry Sector,,Drought,DROUGHT_EVENTS_1974_TO_2004,add,,component of unweighted DROUGHT_EVENTS_1974_TO_2022; no weight to split,added alongside DROUGHT_EVENTS_1974_TO_2022
Northern,Industry Sector,,Drought,DROUGHT_EVENTS_2005_TO_2022,add,,component of unweighted DROUGHT_EVENTS_1974_TO_2022; no weight to split,added alongside DROUGHT_EVENTS_1974_TO_2022
